;==================================================
; EXTRACT @E:\UTC\ASTRID\TEMP\XWINMENU.PAR$00002144_52
;
; Fr 15-Dec-2017 16:52:06
;                                                  
;                        Start   End  Delay  Delay 
;  Site      Day  Date    Time  Time   Mean  Count 
;               yyyymmdd hh:mm hh:mm    veh        
;----------- -- -------- ----- ----- ------ ------ 
; N15151F      lpu factor  17.00 lpu/veh (default)
N15151F      FR 20171215 10:00 10:15    5.4     96 
N15151F      FR 20171215 10:15 10:30    4.7    112 
N15151F      FR 20171215 10:30 10:45    5.5     96 
N15151F      FR 20171215 10:45 11:00    5.1     96 
N15151F      FR 20171215 11:00 11:15    2.8     96 
N15151F      FR 20171215 11:15 11:30    5.2    101 
N15151F      FR 20171215 11:30 11:45    6.1     96 
N15151F      FR 20171215 11:45 12:00    3.3    112 
N15151F      FR 20171215 12:00 12:15    3.7     94 
N15151F      FR 20171215 12:15 12:30    5.2    106 
N15151F      FR 20171215 12:30 12:45    5.2    102 
N15151F      FR 20171215 12:45 13:00    4.9     93 
N15151F      FR 20171215 13:00 13:15    4.4    102 
N15151F      FR 20171215 13:15 13:30    5.1     96 
N15151F      FR 20171215 13:30 13:45    3.6     96 
N15151F      FR 20171215 13:45 14:00    4.8    112 
N15151F      FR 20171215 14:00 14:15    4.4     96 
N15151F      FR 20171215 14:15 14:30    4.6     96 
N15151F      FR 20171215 14:30 14:45    4.0     96 
N15151F      FR 20171215 14:45 15:00    5.8    112 
N15151F      FR 20171215 15:00 15:15    6.0     96 
N15151F      FR 20171215 15:15 15:30    3.9     92 
N15151F      FR 20171215 15:30 15:45    5.8    112 
N15151F      FR 20171215 15:45 16:00    4.8     96 
